,gender1,gender2,age,afam,hispanic,other,morekids,work
0,0,0,35,0,0,0,0,40
1,0,1,33,0,0,0,0,52
2,0,0,28,0,0,0,0,12
3,1,1,28,0,0,0,0,0
4,0,1,31,0,0,0,0,0
5,0,1,33,0,0,0,0,0
6,0,0,28,0,0,0,1,0
7,0,0,25,0,0,0,0,20
8,0,0,31,0,0,0,1,0
9,1,0,35,0,0,0,0,37
10,1,1,34,0,0,0,0,0
11,0,0,21,0,0,0,1,12
12,0,1,33,0,0,0,0,12
13,1,0,30,0,0,0,0,0
14,0,0,32,0,0,0,0,52
15,0,1,35,0,0,0,0,52
16,1,1,29,0,0,0,0,52
17,1,1,33,0,0,0,1,35
18,0,1,29,0,0,0,1,20
19,0,1,34,0,0,0,1,0
20,0,0,33,0,0,0,0,44
21,1,1,31,0,0,0,0,50
22,1,0,31,0,0,0,0,50
23,1,1,26,0,0,0,0,0
24,1,0,33,0,0,0,0,20
25,0,1,32,1,0,0,1,12
26,0,1,32,0,0,0,0,40
27,1,0,32,0,0,0,1,0
28,0,0,35,0,0,0,1,0
29,0,0,33,0,0,0,1,52
30,1,1,30,0,0,0,0,40
31,1,0,35,0,1,0,0,10
32,1,1,34,0,0,0,1,26
33,1,1,33,0,0,0,1,0
34,1,0,33,0,0,0,0,0
35,0,1,32,0,0,0,0,40
36,0,1,33,0,0,0,1,52
37,1,0,30,0,0,0,0,2
38,1,0,26,0,0,1,1,52
39,0,1,26,0,0,0,0,0
40,0,0,32,0,0,0,1,36
41,0,0,32,0,0,0,1,0
42,1,1,30,0,0,0,1,0
43,0,1,35,0,0,0,1,0
44,1,0,34,0,0,0,1,49
45,1,0,29,0,0,0,0,0
46,0,1,24,0,0,0,0,23
47,1,1,35,0,0,0,1,52
48,0,0,30,0,0,0,0,8
49,1,1,26,0,0,0,0,49
50,0,0,32,0,0,0,1,8
51,1,1,33,0,0,0,0,36
52,0,0,32,0,0,0,0,52
53,1,0,35,0,0,0,0,46
54,0,1,34,0,0,0,0,0
55,0,0,27,0,0,0,0,0
56,1,0,35,0,0,0,0,36
57,0,0,24,0,0,0,0,52
58,0,1,33,0,0,0,0,0
59,1,1,34,0,0,0,0,52
60,1,0,25,0,0,0,1,0
61,0,1,34,0,0,0,0,45
62,0,1,24,0,0,0,0,0
63,1,0,31,0,1,1,1,0
64,0,0,35,0,0,0,0,52
65,0,1,32,0,0,0,0,0
66,0,1,28,1,0,0,1,18
67,0,1,26,0,0,0,0,52
68,0,1,27,0,0,0,0,0
69,0,1,23,0,0,0,0,0
70,0,0,22,1,0,0,1,0
71,1,1,28,0,0,0,0,10
72,0,0,33,0,1,1,1,38
73,0,1,27,0,0,0,0,15
74,1,1,29,0,0,1,0,4
75,0,0,32,0,0,0,0,40
76,0,0,26,0,0,0,0,0
77,0,0,26,1,0,0,1,0
78,0,1,26,0,0,0,1,4
79,0,0,25,0,0,0,0,0
80,1,1,27,0,0,0,0,23
81,0,0,35,0,0,0,1,0
82,0,0,33,0,0,0,1,0
83,1,1,29,0,0,0,0,0
84,1,0,28,0,0,0,0,52
85,1,1,30,0,0,0,1,0
86,0,0,32,0,0,0,0,0
87,0,0,33,0,0,0,0,0
88,1,1,32,0,0,0,0,10
89,0,1,23,0,0,0,0,20
90,1,0,27,0,0,0,1,0
91,0,0,25,0,0,0,0,0
92,0,0,29,0,0,0,0,0
93,0,1,35,0,0,0,1,20
94,0,0,27,0,0,0,0,0
95,1,1,22,0,0,0,0,52
96,1,1,30,0,0,0,1,0
97,1,1,34,1,0,0,0,0
98,1,1,32,0,0,0,0,14
99,0,0,32,0,0,0,1,20
100,0,1,29,0,0,0,1,52
101,0,0,31,0,0,0,1,0
102,0,0,31,0,0,0,0,0
103,0,0,29,0,0,0,0,0
104,0,0,22,0,0,0,0,35
105,1,0,31,0,0,0,1,0
106,1,1,24,0,1,0,1,0
107,1,1,32,0,0,0,0,0
108,0,1,31,0,0,0,1,0
109,0,1,31,0,0,0,0,24
110,0,1,23,0,1,1,1,0
111,0,0,31,0,0,1,1,52
112,0,1,23,0,0,0,0,48
113,1,1,35,0,0,0,0,38
114,0,0,27,0,0,0,1,0
115,0,0,34,0,0,0,0,0
116,0,0,30,0,0,0,1,0
117,0,0,30,0,0,0,0,40
118,0,0,35,0,0,0,0,0
119,0,0,29,0,0,0,0,0
120,0,0,33,0,0,0,0,48
121,1,1,35,0,0,0,1,52
122,1,1,27,0,0,0,1,0
123,0,0,27,0,0,0,0,3
124,0,1,29,0,0,0,0,1
125,0,0,33,0,0,0,0,0
126,0,0,26,0,0,0,0,0
127,0,0,34,0,0,0,0,52
128,0,1,34,0,0,0,1,0
129,1,1,35,0,0,0,1,0
130,1,1,34,0,0,0,0,50
131,0,1,25,0,1,1,0,0
132,0,1,32,0,0,0,0,2
133,0,1,29,0,0,0,0,52
134,0,1,32,0,0,0,0,52
135,1,1,28,0,0,0,1,40
136,1,0,29,0,0,1,0,0
137,0,0,29,0,0,0,0,0
138,0,0,31,0,0,0,0,52
139,1,0,24,0,1,1,1,13
140,0,1,25,0,0,0,0,52
141,0,1,33,0,0,0,1,0
142,0,0,29,0,0,0,0,52
143,1,1,31,0,0,0,0,48
144,0,0,33,0,0,0,0,0
145,0,1,26,0,0,0,1,0
146,1,0,31,0,0,0,0,37
147,0,0,31,0,0,0,0,12
148,1,1,29,0,0,0,0,0
149,0,0,25,0,0,0,0,0
150,1,0,30,1,0,0,0,0
151,1,0,30,0,0,0,1,12
152,0,0,26,0,0,0,0,0
153,0,1,22,0,0,0,0,40
154,1,1,33,0,0,0,1,12
155,1,0,21,1,0,0,1,20
156,0,0,28,0,0,0,0,0
157,1,0,35,0,0,0,0,51
158,1,1,29,0,0,0,1,4
159,0,0,28,0,0,0,1,12
160,1,1,31,0,0,0,0,30
161,1,0,35,0,0,0,0,2
162,0,1,29,0,0,0,0,0
163,0,1,24,0,0,0,0,42
164,0,0,29,0,0,0,0,0
165,1,0,33,0,0,0,0,0
166,1,1,33,0,0,0,1,0
167,0,0,31,0,0,0,0,0
168,0,1,30,0,0,0,0,0
169,0,0,29,0,0,0,1,0
170,0,1,26,0,1,0,1,0
171,0,0,27,0,0,0,0,0
172,1,0,33,0,1,1,1,0
173,1,1,35,0,0,0,0,52
174,1,0,33,0,0,0,1,2
175,0,0,33,0,0,0,1,0
176,0,1,30,0,0,0,0,0
177,1,1,32,0,0,0,0,52
178,0,0,35,0,0,0,0,36
179,1,1,32,0,0,0,0,40
180,0,0,24,0,0,0,0,24
181,0,1,26,0,0,0,0,0
182,1,0,34,0,0,0,0,0
183,1,0,32,0,0,0,0,48
184,1,0,30,0,0,0,0,40
185,0,1,32,0,0,0,0,0
186,1,1,26,0,0,0,1,20
187,1,1,33,1,0,0,1,52
188,0,0,32,0,1,0,1,0
189,1,0,31,1,0,0,1,52
190,1,0,25,0,0,0,0,0
191,0,1,26,0,0,0,0,0
192,0,1,31,0,1,0,0,52
193,1,0,29,0,0,0,0,0
194,1,0,26,0,1,1,1,26
195,0,0,33,0,0,0,1,0
196,0,1,28,0,0,0,0,51
197,1,1,33,0,1,1,0,52
198,0,0,32,0,0,0,1,0
199,0,0,34,0,0,0,0,0
200,1,1,26,0,0,0,0,52
201,0,1,30,0,0,0,0,50
202,0,0,34,0,0,0,0,52
203,0,1,29,0,0,0,0,52
204,1,1,32,0,1,0,1,0
205,0,0,32,0,0,0,1,0
206,1,1,31,0,0,0,0,52
207,0,1,26,0,0,0,0,50
208,0,1,32,0,0,1,0,52
209,1,0,30,0,0,0,0,52
210,1,0,33,0,0,0,0,40
211,1,1,25,0,0,0,0,26
212,1,0,35,0,0,0,1,0
213,1,0,29,0,0,0,0,7
214,1,0,28,0,0,0,1,0
215,1,1,33,0,0,0,0,0
216,0,1,31,0,0,0,1,52
217,0,1,34,0,1,0,0,0
218,0,0,22,0,0,0,0,0
219,0,0,29,0,0,0,0,50
220,0,0,24,0,0,0,0,12
221,1,0,21,0,1,1,1,0
222,0,1,30,0,0,0,0,0
223,0,1,35,1,0,0,0,24
224,0,0,32,0,0,0,1,0
225,1,0,32,0,0,0,0,0
226,1,0,30,0,0,0,0,0
227,1,1,27,0,0,0,0,0
228,1,0,35,1,0,0,1,0
229,1,0,32,0,0,0,0,45
230,1,1,34,0,0,0,0,52
231,0,0,34,0,0,0,0,52
232,0,0,34,0,0,0,1,20
233,0,0,33,0,0,0,0,52
234,1,1,22,0,1,0,0,0
235,1,1,34,0,0,0,1,0
236,1,1,33,0,0,0,0,0
237,0,1,35,0,0,0,1,52
238,0,0,32,0,0,0,0,0
239,1,0,34,0,0,0,0,20
240,1,0,31,0,0,0,0,1
241,1,0,33,0,0,0,0,0
242,1,1,28,0,0,0,0,52
243,0,0,30,0,0,0,0,2
244,0,0,31,0,1,0,0,0
245,1,0,30,0,0,0,0,52
246,0,0,31,0,0,0,1,0
247,0,1,28,0,0,0,0,52
248,1,0,31,1,0,0,1,52
249,0,0,31,0,0,0,0,0
250,1,0,24,0,1,1,1,3
251,0,1,31,0,0,0,1,0
252,1,1,29,0,1,1,0,48
253,0,0,28,0,0,0,0,52
254,1,0,32,0,0,0,0,0
255,1,1,30,0,0,0,1,52
256,0,0,26,0,0,0,0,0
257,1,1,34,0,0,0,0,0
258,0,0,31,0,0,0,0,44
259,1,1,28,0,0,0,0,0
260,1,0,25,0,0,0,0,52
261,1,1,34,0,0,0,0,0
262,0,1,32,0,0,0,1,34
263,1,1,28,0,0,0,0,26
264,0,1,33,0,0,0,0,52
265,1,1,30,1,0,0,1,52
266,1,0,29,0,0,0,0,49
267,1,0,28,0,1,1,1,0
268,1,1,32,0,0,0,0,0
269,1,1,25,0,0,0,0,52
270,0,1,32,0,0,0,0,0
271,1,1,31,0,0,0,0,12
272,1,0,31,0,0,0,1,0
273,1,1,34,0,0,0,0,50
274,1,1,26,0,0,0,0,0
275,1,0,31,0,0,0,0,52
276,1,1,29,0,0,0,0,0
277,1,1,35,0,0,0,0,9
278,1,1,33,0,0,0,1,44
279,1,0,34,0,0,0,0,52
280,1,0,34,0,0,0,0,40
